dataset,optimal_hidden_dim,
65,4,1.536766
65,8,0.4799741
65,16,2.8535413
65,32,0.6842801
66,2,0.9584483
66,4,0.87729934
66,8,0.5167705
66,16,0.60037676
66,32,0.59451905
67,2,0.3266963
67,4,0.35948358
67,8,0.32123656
67,16,0.37979136
67,32,0.33407496
68,2,0.34840922
68,4,0.3598067
68,8,0.35391126
68,16,0.3457479
68,32,0.34043704
69,2,0.29865288
69,4,0.29907698
69,8,0.25142243
69,16,0.25755021
69,32,0.26508961
70,2,0.28621582
70,4,0.26138247
70,8,0.28075122
70,16,0.26562786
70,32,0.28414164
71,2,0.25247164
71,4,0.26863274
71,8,0.26304546
71,16,0.26568195
71,32,0.28842984
72,2,0.28645199
72,4,0.28312142
72,8,0.29613289
72,16,0.2945351
72,32,0.28691133
73,2,0.37202688
73,4,0.37994524
73,8,0.38557728
73,16,0.38678108
73,32,0.38425072
74,2,0.3224677
74,4,0.3196704
74,8,0.28602103
74,16,0.28501388
74,32,0.26087662
75,2,0.2676393
75,4,0.26794551
75,8,0.26355368
75,16,0.29783176
75,32,0.28546656
76,2,0.28856742
76,4,0.29352486
76,8,0.31261424
76,16,0.2858147
76,32,0.29928986
77,2,0.31688524
77,4,0.26023887
77,8,0.2615881
77,16,0.25781555
77,32,0.31001737
78,2,0.29445241
78,4,0.26476993
78,8,0.29548728
78,16,0.31083061
78,32,0.31912092
79,2,0.26677213
79,4,0.31188084
79,8,0.28659349
79,16,0.28391681
79,32,0.34222405
80,2,0.38724242
80,4,0.32752438
80,8,0.3102392
80,16,0.34975608
80,32,0.29439528
81,2,0.3197596
81,4,0.2660943
81,8,0.29464243
81,16,0.26935637
81,32,0.3199445
82,2,0.31328537
82,4,0.28107595
82,8,0.31368523
82,16,0.2994571
82,32,0.26214072
83,2,0.28159327
83,4,0.29376077
83,8,0.31880788
83,16,0.29941974
83,32,0.3125776
84,2,0.32228036
84,4,0.34070246
84,8,0.29433832
84,16,0.37207067
84,32,0.35111625
