dataset,optimal_hidden_dim,relative_f_norm
34,8,0.2905531
34,16,0.31983358
34,32,0.31765592
35,2,0.29386822
35,4,0.31176602
35,8,0.3081813
35,16,0.2999815
35,32,0.29116684
36,2,0.2944954
36,4,0.31130615
36,8,0.3034448
36,16,0.29141235
36,32,0.2908076
37,2,0.29344443
37,4,0.31071486
37,8,0.31500291
37,16,0.31835551
37,32,0.2925293
38,2,0.30754617
38,4,0.30204043
38,8,0.30652603
38,16,0.30545682
38,32,0.31452116
39,2,0.29655532
39,4,0.31881939
39,8,0.31546197
39,16,0.30011139
39,32,0.2934276
40,2,0.31093403
40,4,0.31785414
40,8,0.31057637
40,16,0.3135804
40,32,0.2900236
41,2,0.3164792
41,4,0.31354795
41,8,0.29478722
41,16,0.3070511
41,32,0.31043857
42,2,0.30546852
42,4,0.31574085
42,8,0.2900587
42,16,0.30648144
42,32,0.31670491
43,2,0.60266493
43,4,0.51699357
43,8,0.51939176
43,16,0.525361
43,32,0.4874419
44,2,0.60076045
44,4,0.77341263
44,8,0.77572374
44,16,0.7463175
44,32,0.7138695
45,2,1.2958082
45,4,0.8635636
45,8,0.8776069
45,16,0.8687122
45,32,1.5527827
46,2,0.8985758
46,4,0.8649919
46,8,0.7299958
46,16,0.64539366
46,32,0.6311843
47,2,0.9477767
47,4,0.9696004
47,8,0.80534856
47,16,1.2612025
47,32,1.5947256
48,2,1.0555408
48,4,1.6367715
48,8,0.48636346
48,16,0.69412224
48,32,0.4770157
49,2,0.4210069
49,4,0.43803248
49,8,0.45350474
49,16,0.4477486
49,32,0.41648385
50,2,0.33276978
50,4,0.32721895
50,8,0.33144365
50,16,0.31935458
50,32,0.29142383
51,2,0.29000775
51,4,0.31459149
51,8,0.31059437
51,16,0.30347495
51,32,0.316063
52,2,0.29493379
52,4,0.29524533
52,8,0.28327961
52,16,0.28422871
52,32,0.28124973
53,2,0.300919
53,4,0.28378357
53,8,0.29733923
53,16,0.29067601
53,32,0.29886567
54,2,0.3060617
54,4,0.28592841
54,8,0.28622804
54,16,0.29773254
54,32,0.2884961
55,2,0.3173425
55,4,0.31708788
55,8,0.31144004
55,16,0.30946913
55,32,0.30874013
56,2,0.3182099
56,4,0.3177323
56,8,0.29681548
56,16,0.2976752
56,32,0.29293495
57,2,0.26767914
57,4,0.27567841
57,8,0.29411092
57,16,0.27522716
57,32,0.27542083
58,2,0.3052403
58,4,0.30482244
58,8,0.3094127
58,16,0.294241
58,32,0.29271465
59,2,0.30592388
59,4,0.30887902
59,8,0.3165084
59,16,0.3027462
59,32,0.3040923
60,2,0.31892385
60,4,0.35770985
60,8,0.3255186
60,16,0.35624018
60,32,0.4122051
61,2,0.31997368
61,4,0.3093598
61,8,0.35699716
61,16,0.34681022
61,32,0.30842423
62,2,0.30122608
62,4,0.32765135
62,8,0.4127016
62,16,0.30145663
62,32,0.3103377
63,2,0.31965724
63,4,0.30694926
63,8,0.31438643
63,16,0.29734168
63,32,0.31132777
64,2,0.30122758
64,4,0.30305432
64,8,0.31579628
64,16,0.29903651
64,32,0.30878476
65,2,0.2979954
65,4,0.29960535
65,8,0.27692544
65,16,0.29308995
65,32,0.27522577
66,2,0.27146859
66,4,0.27057175
66,8,0.30263981
66,16,0.29894971
66,32,0.30641956
67,2,0.6359282
67,4,0.5106627
67,8,0.5266438
67,16,0.5102754
67,32,0.4771871
68,2,0.9147715
68,4,0.8251889
68,8,0.6855006
68,16,0.71951966
68,32,0.83193646
69,2,0.967396
69,4,0.9543712
69,8,0.5364962
69,16,0.7422524
69,32,1.1514602
70,2,0.8117311
70,4,0.8467502
70,8,0.5743634
70,16,0.9478618
70,32,0.8733401
71,2,0.8910141
71,4,0.9804844
71,8,0.70028685
71,16,1.2428911
71,32,0.5720891
72,2,0.49905835
72,4,0.47865526
72,8,0.4517965
72,16,0.51009004
72,32,0.4771198
73,2,0.5664235
73,4,0.4181018
73,8,0.42335874
73,16,0.4148252
73,32,0.4107378
74,2,0.3035909
74,4,0.32044464
74,8,0.42351546
74,16,0.43203472
74,32,0.34760576
75,2,0.30502233
75,4,0.29239864
75,8,0.31052735
75,16,0.2915129
75,32,0.30955784
76,2,0.3126246
76,4,0.30823045
76,8,0.31236217
76,16,0.31087
76,32,0.31925032
77,2,0.29808782
77,4,0.26820626
77,8,0.28176906
77,16,0.28612816
77,32,0.27213211
78,2,0.28529288
78,4,0.28261819
78,8,0.28674829
78,16,0.2997276
78,32,0.31441117
79,2,0.33208385
79,4,0.34303913
79,8,0.33939347
79,16,0.34204373
79,32,0.34093744
80,2,0.30544942
80,4,0.3104502
80,8,0.29792003
80,16,0.31522994
80,32,0.2952313
81,2,0.27490057
81,4,0.27599549
81,8,0.28127525
81,16,0.29221472
81,32,0.27867952
82,2,0.29028721
82,4,0.29738961
82,8,0.30407075
82,16,0.30011813
82,32,0.29317568
83,2,0.30175709
83,4,0.30071017
83,8,0.31741696
83,16,0.30394928
83,32,0.30519487
84,2,0.29814417
84,4,0.30777456
84,8,0.30343337
84,16,0.30212427
84,32,0.30443167
85,2,0.30409428
85,4,0.31165659
85,8,0.3106749
85,16,0.2907967
85,32,0.29212696
86,2,0.30596173
86,4,0.29897068
86,8,0.31356905
86,16,0.30876088
86,32,0.3105704
87,2,0.29317147
87,4,0.30904324
87,8,0.30764034
87,16,0.30363518
87,32,0.31501328
88,2,0.31122034
88,4,0.30250513
88,8,0.31278727
88,16,0.3002438
88,32,0.29713267
89,2,0.29337294
89,4,0.31975789
89,8,0.30733743
89,16,0.30208103
89,32,0.31331334
90,2,0.42783915
90,4,0.3592477
90,8,0.33505383
90,16,0.3513053
90,32,0.4391577
