dataset,optimal_hidden_dim,relative_f_norm
1,2,0.3998297
1,4,0.4369771
1,8,0.44379643
1,16,0.42716563
1,32,0.39955476
1,64,0.40397298
2,2,0.51278496
2,4,0.37423176
2,8,0.3555164
2,16,0.33898443
2,32,0.33764103
2,64,0.3996828
3,2,0.2666715
3,4,0.26934707
3,8,0.29195228
3,16,0.26784548
3,32,0.28712666
3,64,0.28841275
4,2,0.25365236
4,4,0.25457093
4,8,0.25613824
4,16,0.25691998
4,32,0.257218
4,64,0.2481163
5,2,0.20904988
5,4,0.2463962
5,8,0.23932058
5,16,0.25638017
5,32,0.23743793
5,64,0.2780823
6,2,0.31347722
6,4,0.23884231
6,8,0.2436791
6,16,0.23389627
6,32,0.27894017
6,64,0.23817159
7,2,0.2560192
7,4,0.2291479
7,8,0.24266824
7,16,0.22911109
7,32,0.23434764
7,64,0.23645882
8,2,0.25168857
8,4,0.22687872
8,8,0.22835071
8,16,0.22964984
8,32,0.23448457
8,64,0.23486188
9,2,0.27367866
9,4,0.27707523
9,8,0.26891863
9,16,0.2799296
9,32,0.27139348
9,64,0.2703759
10,2,0.22632739
10,4,0.22208513
10,8,0.22326778
10,16,0.25064212
10,32,0.22357744
10,64,0.23694831
11,2,0.24782214
11,4,0.2452595
11,8,0.25636417
11,16,0.26111516
11,32,0.24401598
11,64,0.26019025
12,2,0.24714883
12,4,0.29095957
12,8,0.2870474
12,16,0.28112873
12,32,0.2727443
12,64,0.25090513
13,2,0.26693565
13,4,0.29987103
13,8,0.29617962
13,16,0.29454282
13,32,0.2976387
13,64,0.29415575
14,2,0.31312853
14,4,0.32320607
14,8,0.290089
14,16,0.27189288
14,32,0.26290253
14,64,0.34592226
15,2,0.27399445
15,4,0.25688568
15,8,0.24182108
15,16,0.24299313
15,32,0.25494468
15,64,0.24598455
16,2,0.2739754
16,4,0.24417983
16,8,0.2302746
16,16,0.21941626
16,32,0.28619498
16,64,0.21091026
17,2,0.19333027
17,4,0.23595552
17,8,0.2250726
17,16,0.23126909
17,32,0.26192486
17,64,0.22177844
18,2,0.29782116
18,4,0.33897138
18,8,0.3452907
18,16,0.2960533
18,32,0.30661646
18,64,0.29709366
19,2,0.6980159
19,4,0.7487273
19,8,0.71986914
19,16,0.6769088
19,32,0.7184669
19,64,0.56490725
20,2,1.0818399
20,4,1.2443231
20,8,1.2242514
20,16,1.0589648
20,32,1.1595296
20,64,1.1144422
21,2,1.2420864
21,4,1.475756
21,8,1.4731157
21,16,1.2313666
21,32,1.3253942
21,64,1.0952816
22,2,1.1253359
22,4,1.2041235
22,8,1.4065015
22,16,1.0953074
22,32,0.61476654
22,64,1.4594975
23,2,1.2578354
23,4,1.3609425
23,8,0.827572
23,16,1.0518633
23,32,0.726583
23,64,0.6511532
24,2,0.7335326
24,4,0.6891233
24,8,1.6462177
24,16,1.554165
24,32,0.87284774
24,64,0.8296896
