dataset,optimal_hidden_dim,relative_f_norm
1,2,0.4321568044371821
1,4,0.4320641097630179
1,6,0.4320177779654522
1,8,0.43202476531577905
1,16,0.4319160830102074
1,32,0.4318795657936858
1,64,0.43214880750851115
2,2,0.4534604776344772
2,4,0.4532651537005248
2,6,0.45303339410358184
2,8,0.4530438777855703
2,16,0.45260695548911556
2,32,0.45208986839770215
2,64,0.45182903958729215
3,2,0.42724977830435196
3,4,0.4269073979637101
3,6,0.426272106312665
3,8,0.42579172805547416
3,16,0.4255148018493293
3,32,0.4230900558244256
3,64,0.42001871644054434
4,2,0.44201659652471537
4,4,0.4420042784801687
4,6,0.4421155486545172
4,8,0.4422191183952452
4,16,0.4422428759810496
4,32,0.44256983944249767
4,64,0.44285098957209146
5,2,0.4312691118812411
5,4,0.4312754820715499
5,6,0.43132649776044724
5,8,0.4313685595997289
5,16,0.43158223646159144
5,32,0.4322153159375687
5,64,0.4334680595630777
6,2,0.44075145173914876
6,4,0.44066470740362024
6,6,0.44065679708988276
6,8,0.4406411339977737
6,16,0.4406769835085753
6,32,0.4408671719559087
6,64,0.44168491988445124
7,2,0.4666765825012295
7,4,0.46668063982165114
7,6,0.4666293455901077
7,8,0.4665983080848593
7,16,0.4665278806592503
7,32,0.46647342834872657
7,64,0.46660744299996215
8,2,0.3570077251088054
8,4,0.3570092905543529
8,6,0.3571084264483894
8,8,0.35724716182153904
8,16,0.35754554116514564
8,32,0.35802940288937796
8,64,0.3587429881311454
9,2,0.43284084659314054
9,4,0.432833921691527
9,6,0.4327001852148391
9,8,0.43259706081842547
9,16,0.43245540816245565
9,32,0.4321688092658502
9,64,0.43149207654668464
10,2,0.4198090817824257
10,4,0.41934797844100963
10,6,0.41922358188657555
10,8,0.4192386434954018
10,16,0.4190736710387532
10,32,0.41868683712859556
10,64,0.4185898949939334
11,2,0.3736125505238379
11,4,0.3735505849303566
11,6,0.3735939683421987
11,8,0.37341403316122
11,16,0.37331639557325236
11,32,0.37308432549155246
11,64,0.3730190329848924
12,2,0.44747428419361474
12,4,0.4474270220611354
12,6,0.4473956686300571
12,8,0.4474275452267975
12,16,0.44746367473143334
12,32,0.44759681965383424
12,64,0.4479961095161289
13,2,0.44586561101937106
13,4,0.44584925090311056
13,6,0.4458148798337759
13,8,0.44578845040815446
13,16,0.4457912036878306
13,32,0.4458142585836523
13,64,0.4461304668952125
14,2,0.39376578568679094
14,4,0.3937743576185254
14,6,0.3938189946655047
14,8,0.39387937484900654
14,16,0.39388060395329233
14,32,0.3939084407944398
14,64,0.39352208285263424
15,2,0.37991685830934846
15,4,0.3800517919774389
15,6,0.3801009128515214
15,8,0.38010325979095927
15,16,0.3801749487398157
15,32,0.3803137923861295
15,64,0.3804462050134435
16,2,0.39828075351740166
16,4,0.39829413805485864
16,6,0.3983167244786864
16,8,0.3983373714119777
16,16,0.3983490363419412
16,32,0.39828544641010627
16,64,0.39794954814135425
17,2,0.4523912941711413
17,4,0.45216106136956496
17,6,0.4519421187396236
17,8,0.45183691980866164
17,16,0.4515180937968258
17,32,0.45083418291537347
