dataset,optimal_hidden_dim,relative_f_norm
1,4,0.430937716
1,6,0.430918967
1,8,0.431010208
1,16,0.431079941
1,32,0.415609208
1,64,0.432270967
2,4,0.459163255
2,6,0.459241099
2,8,0.451915806
2,16,0.46949791
2,32,0.464977589
2,64,0.482225791
3,4,0.43475007
3,6,0.42607801
3,8,0.453840086
3,16,0.452223791
3,32,0.431819058
3,64,0.447633509
4,4,0.418853242
4,6,0.429187254
4,8,0.428918891
4,16,0.442906104
4,32,0.439666119
4,64,0.453067203
5,4,0.466369422
5,6,0.429783979
5,8,0.429844363
5,16,0.423389648
5,32,0.440984278
5,64,0.42482547
6,4,0.434712711
6,6,0.44656667
6,8,0.446608352
6,16,0.447080219
6,32,0.44852531
6,64,0.448913002
7,4,0.46628094
7,6,0.465927265
7,8,0.466066115
7,16,0.465784259
7,32,0.46518561
7,64,0.465061721
8,4,0.347786459
8,6,0.357817628
8,8,0.357966653
8,16,0.358875796
8,32,0.360045743
8,64,0.361349952
9,4,0.465388279
9,6,0.465325501
9,8,0.465453971
9,16,0.465338143
9,32,0.465258196
9,64,0.43103138
10,4,0.414273184
10,6,0.413877908
10,8,0.413336546
10,16,0.412991275
10,32,0.412758249
10,64,0.412066782
11,4,0.377911892
11,6,0.377902656
11,8,0.372462173
11,16,0.377358329
11,32,0.376295965
11,64,0.376541333
12,4,0.435197049
12,6,0.435159741
12,8,0.467160972
12,16,0.435171161
12,32,0.435495946
12,64,0.436386954
13,4,0.438061753
13,6,0.926599543
13,8,0.438022362
13,16,0.438841845
13,32,0.440565883
13,64,0.441547297
14,4,0.395017623
14,6,0.39509568
14,8,0.394995512
14,16,0.395608134
14,32,0.396132989
14,64,0.382074348
15,4,0.389033889
15,6,0.389084336
15,8,0.3964995
15,16,0.389191758
15,32,0.389208888
15,64,0.389481418
16,4,0.395074583
16,6,0.395119798
16,8,0.395091439
16,16,0.395114438
16,32,0.425037915
16,64,0.395433043
17,4,0.463154294
17,6,0.455236282
17,8,0.488364998
17,16,0.462054387
17,32,0.461894188
17,64,0.461928302
18,4,0.443594681
18,6,0.434357255
18,8,0.434346507
18,16,0.443495814
18,32,0.448666977
18,64,0.473165394
19,4,0.408214097
19,6,0.408312677
19,8,0.408341986
19,16,0.405386616
19,32,0.408599657
19,64,0.405598167
20,4,0.42562506
20,6,0.425539586
20,8,0.449367623
20,16,0.425154914
20,32,0.425025437
20,64,0.424784092
21,4,0.421321868
21,6,0.409529742
21,8,0.409370672
21,16,0.420575835
21,32,0.420495558
21,64,0.441497971
22,4,0.429062233
22,6,0.429083608
22,8,0.440202528
22,16,0.429076271
22,32,0.463764548
22,64,0.429326397
23,4,0.378136475
23,6,0.384038632
23,8,0.329972634
23,16,0.377985608
23,32,0.377906772
23,64,0.378021127
24,4,0.442311777
24,6,0.484391303
24,8,0.442344428
24,16,0.462088166
24,32,0.442931641
24,64,0.462534723
25,4,0.473026427
25,6,0.473384739
25,8,0.473740473
25,16,0.471151447
25,32,0.475190539
25,64,0.472980196
26,4,0.447847134
26,6,0.44772791
26,8,0.447692138
26,16,0.447601272
26,32,0.447335426
26,64,0.447863888
27,4,0.458663807
27,6,0.45261338
27,8,0.458738438
27,16,0.459750735
27,32,0.459207259
27,64,0.453149387
28,4,0.419290071
28,6,0.419471393
28,8,0.419212648
28,16,0.419592459
28,32,0.419644209
28,64,0.420632475
29,4,0.403190533
29,6,0.403033021
29,8,0.40291189
29,16,0.409230952
29,32,0.401203877
29,64,0.400978323
30,4,0.998904614
30,6,0.998905509
30,8,0.440272727
30,16,0.441970657
30,32,0.444641207
30,64,0.493119067
31,4,0.470790301
31,6,0.483138776
31,8,0.483118905
31,16,0.483129958
31,32,0.471325999
31,64,0.483918953
32,4,0.454353083
32,6,0.454141518
32,8,0.454224567
32,16,0.491046542
32,32,0.456013703
32,64,0.45532185
33,4,0.418891883
33,6,0.448482561
33,8,0.448532646
33,16,0.448348991
33,32,0.419126581
33,64,0.425516762
34,4,0.423683538
34,6,0.403416584
34,8,0.403486203
34,16,0.403255868
34,32,0.403200378
34,64,0.403187422
35,4,0.419230521
35,6,0.419461712
35,8,0.419341237
35,16,0.419167956
35,32,0.419168666
35,64,0.419427073
36,4,0.45522828
36,6,0.455065555
36,8,0.455033281
36,16,0.454814002
36,32,0.454594011
36,64,0.454712455
37,4,0.424369741
37,6,0.424460812
37,8,0.476422561
37,16,0.424680807
37,32,0.424941694
37,64,0.482533072
38,4,0.414241387
