dataset,optimal_hidden_dim,relative_f_norm
38,6,0.438953353
38,8,0.43909585
38,16,0.438149665
38,32,0.438113051
38,64,0.415564631
39,4,0.470604463
39,6,0.47062217
39,8,0.470683116
39,16,0.47104748
39,32,0.471497582
39,64,0.471752429
40,4,0.456183244
40,6,0.455260001
40,8,0.454088172
40,16,0.453545573
40,32,0.450771538
40,64,0.447553473
41,4,0.971614693
41,6,0.39406135
41,8,0.405015244
41,16,0.405045394
41,32,0.405791732
41,64,0.393657835
42,4,0.456135204
42,6,0.44671713
42,8,0.456078919
42,16,0.456227876
42,32,0.456426113
42,64,0.445319729
43,4,0.463791395
43,6,0.416383349
43,8,0.410576779
43,16,0.41069906
43,32,0.416364255
43,64,0.411463682
44,4,0.420370749
44,6,0.453539624
44,8,0.420420432
44,16,0.420323062
44,32,0.415773317
44,64,0.41875246
45,4,0.413425403
45,6,0.413283072
45,8,0.413448779
45,16,0.413669059
45,32,0.413750734
45,64,0.414111225
46,4,0.42418093
46,6,0.424473218
46,8,0.42436901
46,16,0.425214184
46,32,0.426517933
46,64,0.424015257
47,4,0.422162926
47,6,0.422387754
47,8,0.42251387
47,16,0.427036879
47,32,0.423597491
47,64,0.424383235
48,4,0.438869333
48,6,0.439118567
48,8,0.439029891
48,16,0.439913791
48,32,0.440573844
48,64,0.442487632
49,4,0.41131131
49,6,0.411217213
49,8,0.411101952
49,16,0.411139111
49,32,0.410930237
49,64,0.402789382
50,4,0.43014816
50,6,0.43036269
50,8,0.430429537
50,16,0.430557844
50,32,0.42596582
50,64,0.430681423
51,4,0.475766283
51,6,0.465316385
51,8,0.475921029
51,16,0.465509718
51,32,0.465775619
51,64,0.561155506
52,4,0.99889192
52,6,0.419776644
52,8,0.434138151
52,16,0.435485081
52,32,0.435694317
52,64,0.44039672
53,4,0.474805304
53,6,0.485010357
53,8,0.485448586
53,16,0.485516424
53,32,0.487331284
53,64,0.48831395
54,4,0.503201957
54,6,0.467899435
54,8,0.503673134
54,16,0.466780122
54,32,0.463352044
54,64,0.462393967
55,4,0.430529276
55,6,0.430444452
55,8,0.440861603
55,16,0.430808451
55,32,0.431170629
55,64,0.431620999
56,4,0.453859495
56,6,0.453889003
56,8,0.453953492
56,16,0.480868577
56,32,0.454198254
56,64,0.454838693
57,4,0.457211237
57,6,0.457213947
57,8,0.457201085
57,16,0.456948997
57,32,0.449690294
57,64,0.457184773
58,4,0.451714371
58,6,0.451844891
58,8,0.452363435
58,16,0.45378772
58,32,0.455750606
58,64,0.460225642
59,4,0.998918382
59,6,0.454209115
59,8,0.454266265
59,16,0.45420182
59,32,0.455551269
59,64,0.461119041
60,4,0.426837241
60,6,0.426820566
60,8,0.426761736
60,16,0.448246609
60,32,0.427181032
60,64,0.427484166
61,4,0.421252235
61,6,0.421550872
61,8,0.456234835
61,16,0.422771083
61,32,0.424682114
61,64,0.426373168
62,4,0.446757354
62,6,0.446459388
62,8,0.446566729
62,16,0.445855926
62,32,0.445658398
62,64,0.445936769
63,4,0.451542121
63,6,0.437252172
63,8,0.43784575
63,16,0.453454858
63,32,0.455676546
63,64,0.458124602
64,4,0.998768606
64,6,0.425883034
64,8,0.425681223
64,16,0.425091249
64,32,0.424409103
64,64,0.424272183
65,4,0.439608208
65,6,0.438651773
65,8,0.439923935
65,16,0.440302572
65,32,0.490374924
65,64,0.443133655
66,4,0.436182241
66,6,0.436066832
66,8,0.445862694
66,16,0.436008512
66,32,0.435923998
66,64,0.446546577
67,4,0.4119651
67,6,0.411148878
67,8,0.455260001
67,16,0.410102369
67,32,0.408401799
67,64,0.406939152
68,4,0.449966269
68,6,0.449683713
68,8,0.455308463
68,16,0.448946513
68,32,0.448627358
68,64,0.447823237
69,4,0.441994681
69,6,0.423753538
69,8,0.413860295
69,16,0.424045708
69,32,0.424440429
69,64,0.414228779
70,4,0.411232082
70,6,0.410756612
70,8,0.413443929
70,16,0.420147502
70,32,0.409909196
70,64,0.421091541
71,4,0.423835
71,6,0.423737434
71,8,0.423701154
71,16,0.423607129
71,32,0.423535459
71,64,0.423627992
72,4,0.444344466
72,6,0.435403367
72,8,0.435496229
72,16,0.445563257
72,32,0.447371967
72,64,0.436454608
73,4,0.415608281
73,6,0.41674517
73,8,0.416259894
73,16,0.418438438
73,32,0.420172102
73,64,0.409244712
74,4,0.446572045
74,6,0.44686878
74,8,0.446776477
74,16,0.446905645
74,32,0.447263128
74,64,0.447034684
75,4,0.452172025
75,6,0.451978216
75,8,0.500176774
75,16,0.451537104
75,32,0.451074785
75,64,0.450878149
76,4,0.465341923
76,6,0.467696586
76,8,0.466080554
76,16,0.467195913
76,32,0.468976472
76,64,0.469902479
77,4,0.485193734
77,6,0.485209826
77,8,0.485224972
77,16,0.485171371
77,32,0.484659056
77,64,0.483821813
78,4,0.47059018
78,6,0.470694783
78,8,0.470567303
78,16,0.47086709
78,32,0.47161148
78,64,0.472220175
79,4,0.460676616
79,6,0.460658559
79,8,0.460786471
79,16,0.47910762
79,32,0.461971612
79,64,0.49185683
80,4,0.436733282
80,6,0.998652984
80,8,0.436930391
80,16,0.437366605
80,32,0.437953729
80,64,0.438538026
81,4,0.394520783
81,6,0.422242493
81,8,0.394517443
81,16,0.390512705
81,32,0.394612869
81,64,0.394457529
82,4,0.430932969
82,6,0.430805182
82,8,0.431198174
82,16,0.431634876
82,32,0.431570366
82,64,0.414309123
83,4,0.398094916
83,6,0.412558017
83,8,0.412564719
83,16,0.393541325
83,32,0.398284669
83,64,0.394359227
84,4,0.421788554
84,6,0.422985739
84,8,0.423140935
84,16,0.452121355
84,32,0.425335964
84,64,0.42659223
85,4,0.434896941
85,6,0.455879099
85,8,0.434210657
85,16,0.4297969
85,32,0.434241258
85,64,0.454827463
86,4,0.412194883
86,6,0.412258233
86,8,0.403763283
86,16,0.412221322
86,32,0.412507892
86,64,0.410284107
87,4,0.442532072
87,6,0.442542723
87,8,0.48183591
87,16,0.443902766
87,32,0.445309565
87,64,0.467219944
88,4,0.998961056
88,6,0.472677146
88,8,0.472828314
88,16,0.472186089
88,32,0.471942054
88,64,0.475119377
89,4,0.42148652
89,6,0.432020447
89,8,0.432008017
89,16,0.431923464
89,32,0.431864568
89,64,0.419407096
90,4,0.998750291
90,6,0.447587768
90,8,0.447770701
90,16,0.448040635
90,32,0.448150399
90,64,0.432148442
91,4,0.402683691
91,6,0.407382883
91,8,0.402927449
91,16,0.407612246
91,32,0.408101347
91,64,0.403652587
92,4,0.436811377
92,6,0.436896385
92,8,0.436150015
92,16,0.435348493
92,32,0.434300043
92,64,0.432445908
93,4,0.409451583
93,6,0.409567029
93,8,0.388628636
93,16,0.408502
93,32,0.407946202
93,64,0.407840196
94,4,0.447861008
94,6,0.447874033
94,8,0.447860814
94,16,0.4382864
94,32,0.438770271
94,64,0.438737636
95,4,0.413821447
95,6,0.413801059
95,8,0.417292681
95,16,0.42380122
95,32,0.424502922
95,64,0.425119642
96,4,0.443345907
96,6,0.442957394
96,8,0.442901294
96,16,0.44240544
96,32,0.442125503
96,64,0.442185433
97,4,0.410326258
97,6,0.415514087
97,8,0.41507304
97,16,0.416374124
97,32,0.407710643
97,64,0.419633323
98,4,0.374569471
98,6,0.384237478
98,8,0.384618988
98,16,0.383405875
98,32,0.383021923
98,64,0.382760379
99,4,0.401375725
99,6,0.401423498
99,8,0.401183185
99,16,0.401141532
99,32,0.392962824
99,64,0.402057785
100,4,0.442641541
100,6,0.416457717
100,8,0.417439853
100,16,0.416244223
100,32,0.406644446
100,64,0.421331393
